ordernumber;productcode;quantityordered;priceeach;orderlinenumber;orderdate;shippeddate;status;customernumber;country
10148;S18_3232       ;32;143.9;14;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_3685       ;28;135.6;11;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_4409       ;34;83.8;1;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_4933       ;29;66.3;2;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_1046       ;25;65.4;6;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_1628       ;47;46.3;8;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_2766       ;21;77.2;4;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_2887       ;34;115.1;3;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_3191       ;31;71.9;5;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S24_3432       ;27;96.4;7;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10152;S18_4027       ;35;117.8;1;2000/09/25 00:00:00.000;2000/10/01 00:00:00.000;Shipped        ;333;Australia                                         
10152;S24_1444       ;25;49.1;4;2000/09/25 00:00:00.000;2000/10/01 00:00:00.000;Shipped        ;333;Australia                                         
10152;S24_4048       ;23;112.4;3;2000/09/25 00:00:00.000;2000/10/01 00:00:00.000;Shipped        ;333;Australia                                         
10152;S32_3207       ;33;57.2;2;2000/09/25 00:00:00.000;2000/10/01 00:00:00.000;Shipped        ;333;Australia                                         
