ordernumber;status;country
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10127;Shipped;USA
10130;Shipped;USA
10130;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10131;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10135;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10140;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10142;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10143;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10145;Shipped;USA
10146;Shipped;USA
10146;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10147;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10149;Shipped;USA
10154;Shipped;USA
10154;Shipped;USA
